Unnamed: 0,date,deaths_total,natl_total,natl_ratio,month,region,deaths_total_lag1,deaths_total_lag12,rate,cremations,rate_est,cremations_est
,1998-01-01,1891,20478.0,0.9090335150065352,1,경북,1893.0,2034.0,,,40.0,756
,1998-02-01,1709,19095.0,0.8476411255518015,2,경북,1891.0,1774.0,,,40.0,684
,1998-03-01,1899,20802.0,0.9234161138375792,3,경북,1709.0,1978.0,,,40.0,760
,1998-04-01,1924,20338.0,0.902818811807936,4,경북,1899.0,1819.0,,,40.0,770
,1998-05-01,1820,20376.0,0.9045056598189845,5,경북,1924.0,1863.0,,,40.0,728
,1998-06-01,1764,19466.0,0.8641100890280895,6,경북,1820.0,1861.0,,,40.0,706
,1998-07-01,1715,19309.0,0.8571407432982318,7,경북,1764.0,1781.0,,,40.0,686
,1998-08-01,1761,20204.0,0.896870453032134,8,경북,1715.0,1772.0,,,40.0,704
,1998-09-01,1810,19906.0,0.8836420133665441,9,경북,1761.0,1771.0,,,40.0,724
,1998-10-01,1940,21273.0,0.9443241510271524,10,경북,1810.0,1965.0,,,40.0,776
,1998-11-01,1907,21117.0,0.9373991960344276,11,경북,1940.0,1893.0,,,40.0,763
,1998-12-01,2021,23461.0,1.0414510838738316,12,경북,1907.0,1893.0,,,40.0,808
,1999-01-01,2179,23193.0,1.0295543663222275,1,경북,2021.0,1891.0,,,42.666666666666664,930
,1999-02-01,1720,18865.0,0.8374312560112457,2,경북,2179.0,1709.0,,,42.666666666666664,734
,1999-03-01,2057,21052.0,0.9345137981207922,3,경북,1720.0,1899.0,,,42.666666666666664,878
,1999-04-01,1826,20309.0,0.9015314804310832,4,경북,2057.0,1924.0,,,42.666666666666664,779
,1999-05-01,1888,20788.0,0.9227946435177192,5,경북,1826.0,1820.0,,,42.666666666666664,806
,1999-06-01,1784,19884.0,0.8826654171496214,6,경북,1888.0,1764.0,,,42.666666666666664,761
,1999-07-01,1783,19228.0,0.8535450935904708,7,경북,1784.0,1715.0,,,42.666666666666664,761
,1999-08-01,1775,19921.0,0.884307874423537,8,경북,1783.0,1761.0,,,42.666666666666664,757
,1999-09-01,1847,19583.0,0.8693038052726331,9,경북,1775.0,1810.0,,,42.666666666666664,788
,1999-10-01,1888,21795.0,0.9674961158105008,10,경북,1847.0,1940.0,,,42.666666666666664,806
,1999-11-01,1863,20780.0,0.9224395176206563,11,경북,1888.0,1907.0,,,42.666666666666664,795
