Feature,Importance
excess_mortality,0.5123708
cause_cancer,0.3188665
natl_total,0.04638858
deaths_rolling3,0.022424743
cause_cerebro,0.017694438
deaths_total_lag12,0.016378477
natl_ratio,0.014764941
expected_deaths,0.011523429
month_cos,0.009386437
month_sin,0.005662492
is_summer,0.0033535669
is_winter,0.0029505088
rolling_std_3,0.002688791
cause_cardio,0.00265143
season_winter,0.0026425885
era_2000s,0.0021617024
deaths_total_lag1,0.0014677215
month,0.0011018115
ratio_50_64,0.0010037739
rolling_std_6,0.00069269555
diff2,0.0005645641
ratio_85_plus,0.0005136236
ratio_65_69,0.00045147853
event_dummy,0.00043346244
cause_pneumonia,0.00035208356
season_spring,0.00028820647
ratio_25_49,0.00028176425
winter_event,0.00026196442
deaths_diff1,0.00024772173
era_2010s,0.000141024
ratio_70_plus,0.00012337671
summer_event,0.00011558292
ratio_65_plus,3.4295244e-05
season_summer,1.5538271e-05
year,0.0
year_sq,0.0
era_2020s,0.0
ratio_75_plus,0.0
ratio_80_plus,0.0
