Feature,Importance
cause_cancer,0.42434585
excess_mortality,0.41165525
natl_ratio,0.03604807
natl_total,0.03382171
deaths_rolling3,0.023150448
deaths_total_lag12,0.015550676
expected_deaths,0.014403033
cause_cerebro,0.013497453
season_summer,0.0035910613
elderly85_winter,0.003071001
month_sin,0.0027035319
is_summer,0.0021276127
rolling_std_3,0.0017101372
deaths_total_lag1,0.0015606887
cause_cardio,0.0015328774
month_cos,0.0013858746
elderly75_winter,0.0009016791
elderly65_winter,0.00089914794
era_2000s,0.00081851013
rolling_std_6,0.0007710192
cause_pneumonia,0.0007632483
ratio_50_64,0.00074940023
winter_event,0.0006883259
ratio_65_plus,0.0005405762
month,0.00052581436
event_dummy,0.0005160032
diff2,0.00047858182
ratio_85_plus,0.00043764908
ratio_65_69,0.00035774492
ratio_25_49,0.00028841945
era_2010s,0.0002654519
is_winter,0.00021665214
summer_event,0.00019617153
deaths_diff1,0.0001770716
season_spring,0.00015222747
ratio_70_plus,5.764983e-05
season_winter,4.3430082e-05
year_sq,0.0
era_2020s,0.0
ratio_80_plus,0.0
year,0.0
ratio_75_plus,0.0
